Unknown        = 5724
ItemCount      = 66
CommandCount   = 177
VerbNounCount  = 79
RoomCount      = 26
MaxInventory   = 6
StartRoom      = 1
TreasureCount  = 2
WordLength     = 3
LightMoves     = 150
MessageCount   = 88
TreasureRoom   = 1

Cmd   0:     80    422    342    420    340      0  16559   8850
Cmd   1:     80    462    482    460      0      0  15712   1705
Cmd   2:    100    521    552    540    229    220    203   8700
Cmd   3:      3    483      0      0      0      0  15712      0
Cmd   4:    100    284    308      0      0      0   8626      0
Cmd   5:    100     28    663    403     40      0   8700      0
Cmd   6:    100     48     20    660    740    220   9055  10902
Cmd   7:    100     28     20      0      0      0   3810      0
Cmd   8:    100      8    700    720      0      0  10868      0
Cmd   9:    100     48     40    640    400    300   9055   8305
Cmd  10:     19    524      0      0      0      0   9778   9450
Cmd  11:     40    104    886      0      0      0   4411      0
Cmd  12:     80    242    502    820     80    240   9321  10109
Cmd  13:    100      8    140     80    500      0  10262   8850
Cmd  14:     25    421    846    420    200      0   5162      0
Cmd  15:    100    129    120      0      0      0   6508      0
Cmd  16:     50    242    982    820    440    240   9321   8850
Cmd  17:     35    483     69      0      0      0  15705      0
Cmd  18:      7    483    249      0      0      0  15706      0
Cmd  19:     50    484   1073   1086      0      0  17661   9150
Cmd  20:     50    204   1086      0      0      0  16711      0
Cmd  21:     10    209   1040   1060    300   1100  10872  10050
Cmd  22:     10    208   1040   1060     89      0  10867      0
Cmd  23:    100    483      8      0      0      0  15719  10200
Cmd  24:    100      8      0      0      0      0  10200      0
Cmd  25:    100    104    308      0      0      0   8626      0
Cmd  26:     80    462    282    280   1160      0   1422      0
Cmd  27:     80    342    482    480    260      0  18725   9300
Cmd  28:     30    483   1212    252    480   1200  18825      0
Cmd  29:     20    483   1203      0      0      0  18900      0
Cmd  30:     25   1234    483     63      0      0  15733      0
Cmd  31:    100    328   1260    180    320      0  10860  11400
Cmd  32:   1223    107    100     61      0      0  10507   8164
Cmd  33:   7530    404    242     63    903      0   2829      0
Cmd  34:   5570    163    203    160    180      0  10870   1264
Cmd  35:   6170    183    180    160      0      0  10914  11400
Cmd  36:   6300    104      0      0      0      0    900      0
Cmd  37:   1529    442    465    440      0      0   7914      0
Cmd  38:   1529    442    462      0      0      0    760   9150
Cmd  39:    183    322    180      0      0      0   8170   9600
Cmd  40:   1538    262    242      0      0      0   1800      0
Cmd  41:   1538    262    245    260      0      0   7914      0
Cmd  42:   5888    262    242      0      0      0   1800      0
Cmd  43:   5888    262    245      0      0      0   1950      0
Cmd  44:   6188    262    245    541    260    560   2155   7950
Cmd  45:   5888    261      0      0      0      0   2400      0
Cmd  46:   4088    561      0      0      0      0   2400      0
Cmd  47:   4088    263      0      0      0      0   2713      0
Cmd  48:   4088    562    580    109    100    249   2303   8700
Cmd  49:   4088    249    562    108    900    240   6203   8700
Cmd  50:   4088    248    562      0      0      0   6600      0
Cmd  51:   4068    103     69      0      0      0    646      0
Cmd  52:   4068    103     68      0      0      0   6600      0
Cmd  53:   5887    342      0      0      0      0   2550      0
Cmd  54:   5887    362      0      0      0      0   2713      0
Cmd  55:   5887    382      0      0      0      0   2100      0
Cmd  56:    159    382    320      0      0      0   8170   9600
Cmd  57:   6187    342    362      0      0      0   2550      0
Cmd  58:   6187    345    362    541    360    380   8303  10164
